itemId,title,category,distance,duration,nearby_places,url,p_rating,count,latitude,longitude,image_url
1,Hawa Mahal,Heritage,2 Km,30 min,City Palace,/rajasthan/jaipur/hawa-mahal,4.9,892,26.9245,75.8281,https://source.unsplash.com/featured/800x500/?Hawa+Mahal+jaipur+Heritage+India+travel
2,City Palace,Heritage,0 km,1-2 hrs,Hawa Mahal,/rajasthan/jaipur/city-palace,4.8,645,26.9245,75.8274,https://source.unsplash.com/featured/800x500/?City+Palace+jaipur+Heritage+India+travel
3,Jantar Mantar,Heritage,0 km,1-2 hrs,City Palace,/rajasthan/jaipur/jantar-mantar,4.7,723,26.9245,75.8341,https://source.unsplash.com/featured/800x500/?Jantar+Mantar+jaipur+Heritage+India+travel
4,Amer Fort,Heritage,13 km,2-3 hrs,Jaigarh Fort,/rajasthan/jaipur/amer-fort,5.0,783,26.9857,75.8513,https://source.unsplash.com/featured/800x500/?Amer+Fort+jaipur+Heritage+India+travel
5,Nahargarh Fort,Heritage,6 km,1-2 hrs,City view,/rajasthan/jaipur/nahargarh-fort,4.6,652,27.0089,75.8533,https://source.unsplash.com/featured/800x500/?Nahargarh+Fort+jaipur+Heritage+India+travel
6,Jaipur Zoo,Wildlife,6 km,1-2 hrs,,/rajasthan/jaipur/jaipur-zoo,4.2,358,26.9124,75.8231,https://source.unsplash.com/featured/800x500/?Jaipur+Zoo+jaipur+Wildlife+India+travel
7,Birla Mandir,Pilgrimage,6 km,1-2 hrs,,/rajasthan/jaipur/birla-mandir,4.9,482,26.9288,75.8234,https://source.unsplash.com/featured/800x500/?Birla+Mandir+jaipur+Pilgrimage+India+travel
8,Jaigarh Fort,Heritage,15 km,2-3 hrs,Amer Fort,/rajasthan/jaipur/jaigarh-fort,4.6,534,26.9918,75.8289,https://source.unsplash.com/featured/800x500/?Jaigarh+Fort+jaipur+Heritage+India+travel
9,Albert Hall Museum,Museum,5 km,1-2 hrs,,/rajasthan/jaipur/albert-hall-museum,4.4,345,26.9294,75.8144,https://source.unsplash.com/featured/800x500/?Albert+Hall+Museum+jaipur+Museum+India+travel
10,Ram Niwas Garden,Park,3 km,1-2 hrs,Albert Hall,/rajasthan/jaipur/ram-niwas-garden,4.3,267,26.9225,75.8169,https://source.unsplash.com/featured/800x500/?Ram+Niwas+Garden+jaipur+Park+India+travel
11,Red Fort,Heritage,5 km,2-3 hrs,Jama Masjid,/delhi/delhi/red-fort,4.8,1023,28.6562,77.241,https://source.unsplash.com/featured/800x500/?Red+Fort+delhi+Heritage+India+travel
12,India Gate,Monument,3 km,1 hr,Rashtrapati,/delhi/delhi/india-gate,4.7,1203,28.6129,77.2295,https://source.unsplash.com/featured/800x500/?India+Gate+delhi+Monument+India+travel
13,Qutub Minar,Heritage,15 km,2 hrs,Qutub Complex,/delhi/delhi/qutub-minar,4.9,923,28.5244,77.1855,https://source.unsplash.com/featured/800x500/?Qutub+Minar+delhi+Heritage+India+travel
14,Lotus Temple,Pilgrimage,12 km,1-2 hrs,,/delhi/delhi/lotus-temple,4.8,734,28.5535,77.2588,https://source.unsplash.com/featured/800x500/?Lotus+Temple+delhi+Pilgrimage+India+travel
15,Jama Masjid,Pilgrimage,1 km,1-2 hrs,Red Fort,/delhi/delhi/jama-masjid,4.7,612,28.6505,77.2308,https://source.unsplash.com/featured/800x500/?Jama+Masjid+delhi+Pilgrimage+India+travel
16,Rashtrapati Bhavan,Monument,2 km,1 hr,India Gate,/delhi/delhi/rashtrapati-bhavan,4.6,534,28.6238,77.1992,https://source.unsplash.com/featured/800x500/?Rashtrapati+Bhavan+delhi+Monument+India+travel
17,Humayun Tomb,Heritage,8 km,1-2 hrs,,/delhi/delhi/humayun-tomb,4.8,645,28.5921,77.2506,https://source.unsplash.com/featured/800x500/?Humayun+Tomb+delhi+Heritage+India+travel
18,Chandni Chowk,Market,2 km,2-3 hrs,Red Fort,/delhi/delhi/chandni-chowk,4.4,723,28.6505,77.2291,https://source.unsplash.com/featured/800x500/?Chandni+Chowk+delhi+Market+India+travel
19,National Museum,Museum,3 km,2-3 hrs,India Gate,/delhi/delhi/national-museum,4.5,456,28.611,77.2205,https://source.unsplash.com/featured/800x500/?National+Museum+delhi+Museum+India+travel
20,Delhi Zoo,Wildlife,5 km,2-3 hrs,,/delhi/delhi/delhi-zoo,4.3,567,28.6145,77.2449,https://source.unsplash.com/featured/800x500/?Delhi+Zoo+delhi+Wildlife+India+travel
21,Gateway of India,Monument,0 km,1 hr,Taj Palace,/maharashtra/mumbai/gateway-of-india,4.7,1534,18.922,72.8347,https://source.unsplash.com/featured/800x500/?Gateway+of+India+mumbai+Monument+India+travel
22,Marine Drive,Beach,5 km,1-2 hrs,Chowpatty,/maharashtra/mumbai/marine-drive,4.6,823,18.9432,72.8236,https://source.unsplash.com/featured/800x500/?Marine+Drive+mumbai+Beach+India+travel
23,Haji Ali,Pilgrimage,8 km,1-2 hrs,,/maharashtra/mumbai/haji-ali,4.5,678,18.9825,72.8043,https://source.unsplash.com/featured/800x500/?Haji+Ali+mumbai+Pilgrimage+India+travel
24,Chowpatty Beach,Beach,3 km,1-2 hrs,Marine Drive,/maharashtra/mumbai/chowpatty-beach,4.4,534,18.9432,72.8256,https://source.unsplash.com/featured/800x500/?Chowpatty+Beach+mumbai+Beach+India+travel
25,Siddhivinayak Temple,Pilgrimage,6 km,1 hr,,/maharashtra/mumbai/siddhivinayak-temple,4.8,723,19.0176,72.8263,https://source.unsplash.com/featured/800x500/?Siddhivinayak+Temple+mumbai+Pilgrimage+India+travel
26,Elephanta Caves,Heritage,12 km,3-4 hrs,,/maharashtra/mumbai/elephanta-caves,4.7,612,18.9634,72.9314,https://source.unsplash.com/featured/800x500/?Elephanta+Caves+mumbai+Heritage+India+travel
27,Bandra-Worli Sea Link,Monument,10 km,30 min,,/maharashtra/mumbai/bandra-worli-sea-link,4.5,456,19.026,72.8235,https://source.unsplash.com/featured/800x500/?Bandra-Worli+Sea+Link+mumbai+Monument+India+travel
28,St. Basil Cathedral,Heritage,2 km,1 hr,,/maharashtra/mumbai/st.-basil-cathedral,4.6,378,18.9633,72.8285,https://source.unsplash.com/featured/800x500/?St.+Basil+Cathedral+mumbai+Heritage+India+travel
29,Worli Fort,Heritage,8 km,1 hr,,/maharashtra/mumbai/worli-fort,4.3,289,19.0031,72.8144,https://source.unsplash.com/featured/800x500/?Worli+Fort+mumbai+Heritage+India+travel
30,Mani Bhavan,Heritage,4 km,1 hr,,/maharashtra/mumbai/mani-bhavan,4.4,312,19.0233,72.8277,https://source.unsplash.com/featured/800x500/?Mani+Bhavan+mumbai+Heritage+India+travel
31,Taj Mahal,Heritage,0 km,2-3 hrs,Agra Fort,/uttar-pradesh/agra/taj-mahal,5.0,2103,27.1751,78.0421,https://source.unsplash.com/featured/800x500/?Taj+Mahal+agra+Heritage+India+travel
32,Agra Fort,Heritage,2 km,1-2 hrs,Taj Mahal,/uttar-pradesh/agra/agra-fort,4.8,734,27.1805,78.0081,https://source.unsplash.com/featured/800x500/?Agra+Fort+agra+Heritage+India+travel
33,Itimad-ud-Daulah,Heritage,5 km,1-2 hrs,Taj Mahal,/uttar-pradesh/agra/itimad-ud-daulah,4.6,523,27.1896,78.0213,https://source.unsplash.com/featured/800x500/?Itimad-ud-Daulah+agra+Heritage+India+travel
